iter	RMSE
0	1.107473825
1	1.030023815
2	0.9650582211
3	0.91558262
4	0.8759893158
5	0.8419004417
6	0.8174641513
7	0.7948059774
8	0.7783869644
9	0.764810502
10	0.7527816034
11	0.7438795116
12	0.7350472529
13	0.7277472425
14	0.7225030285
15	0.7186754723
16	0.7151763922
17	0.7114517617
18	0.7083599706
19	0.7055145165
20	0.7032223974
21	0.700305521
22	0.6984384647
23	0.6968777955
24	0.6954883497
25	0.6933378624
26	0.6922645249
27	0.6910831865
28	0.6899129339
29	0.6887950081
30	0.6874018024
31	0.6864541294
32	0.6848655695
33	0.6839274427
34	0.6830252278
35	0.6817025643
36	0.6805966577
37	0.6800054094
38	0.6789915975
39	0.6778695815
40	0.6765413886
41	0.6756110006
42	0.6750288524
43	0.6744698603
44	0.6740488198
45	0.6727875421
46	0.6720179825
47	0.6711212221
48	0.6708677234
49	0.6701878676
50	0.6697065372
51	0.6681697042
52	0.6673490963
53	0.6662254787
54	0.6657546149
55	0.6645837268
56	0.664161725
57	0.6637350756
58	0.6633450545
59	0.6626378801
60	0.6622204671
61	0.6617880655
62	0.6610119008
63	0.6603085375
64	0.6589757979
65	0.6585695127
66	0.6579132748
67	0.657150737
68	0.6566956954
69	0.6562901559
70	0.6557552425
71	0.6550496796
72	0.6546222571
73	0.6540290437
74	0.6536557165
75	0.6531270659
76	0.6528899493
77	0.652318386
78	0.6516100811
79	0.6508136796
80	0.6499419526
81	0.649372196
82	0.648753709
83	0.648398479
84	0.6477871808
85	0.647368537
86	0.6468826946
87	0.646470014
88	0.6460283947
89	0.6458096196
90	0.6455815794
91	0.6447745757
92	0.6441624212
93	0.6434143859
94	0.6427004855
95	0.6421966335
96	0.6415250173
97	0.6410069102
98	0.6405822828
99	0.6399671519
100	0.6392495231
101	0.638971616
102	0.6383151715
103	0.6381014195
104	0.6378029447
105	0.6370341063
106	0.6366638846
107	0.6360923865
108	0.635383518
109	0.6346856798
110	0.6340811055
111	0.633805142
112	0.6333273178
113	0.6328026736
114	0.6324991248
115	0.632112661
116	0.6317683335
117	0.6314260816
118	0.6310945049
119	0.6303777764
120	0.6300706791
121	0.6295569178
122	0.6291565169
123	0.6288610216
124	0.6285574593
125	0.6280756207
126	0.6277930206
127	0.6271477027
128	0.6268663159
129	0.6266177835
130	0.6260912007
131	0.6256800362
132	0.6251223238
133	0.6246370997
134	0.6240758044
135	0.6237402885
136	0.6235433739
137	0.6232197828
138	0.622854646
139	0.6223912113
140	0.6219352279
141	0.6215478028
142	0.621215565
143	0.6208412839
144	0.6202222283
145	0.6198014621
146	0.6193562638
147	0.6190120034
148	0.6185797776
149	0.6183643994
150	0.6179236941
151	0.6175209091
152	0.6172477852
153	0.6170250621
154	0.6165490746
155	0.6162167789
156	0.6158334674
157	0.6156153165
158	0.6151887692
159	0.6149972517
160	0.6145364674
161	0.6142932882
162	0.6141227075
163	0.613807425
164	0.613527354
165	0.6133326464
166	0.6128634027
167	0.612660737
168	0.6123616376
169	0.6120525431
170	0.6117374791
171	0.6115525692
172	0.6111337365
173	0.6108651704
174	0.6105591689
175	0.6101848024
176	0.6099509204
177	0.609704263
178	0.6094472329
179	0.6093182001
180	0.6090865972
181	0.6088907824
182	0.6086515834
183	0.6082821234
184	0.6080210077
185	0.6078072086
186	0.6076598283
187	0.6073848048
188	0.6071269257
189	0.6068585007
190	0.6064722445
191	0.6062038571
192	0.6060237605
193	0.6056445172
194	0.6052625044
195	0.6050548595
196	0.604809131
197	0.6045959611
198	0.6042859198
199	0.6040931379
200	0.6038212062
201	0.6034925251
202	0.6034016236
203	0.6032472225
204	0.6029753482
205	0.6026740344
206	0.6024061151
207	0.6021288211
208	0.6019246341
209	0.6016719344
210	0.6014892859
211	0.601235664
212	0.6010409771
213	0.600807185
214	0.6004719604
215	0.6002569925
216	0.6000789038
217	0.5998592269
218	0.5996644658
219	0.599430703
220	0.5992538715
221	0.5989407867
222	0.5986250449
223	0.5984037562
224	0.5981898471
225	0.5979001234
226	0.5974749695
227	0.5973202178
228	0.5971683348
229	0.5970066563
230	0.5965419279
231	0.5964744897
232	0.5963013868
233	0.5961000139
234	0.5957138917
235	0.5954597982
236	0.5952878037
237	0.5950870668
238	0.5947721931
239	0.5945334008
240	0.5944040867
241	0.594037204
242	0.5938054776
243	0.5936072435
244	0.5932999571
245	0.5931731286
246	0.5928310076
247	0.5927214052
248	0.5924413922
249	0.5922385444
250	0.5919294836
251	0.5916825866
252	0.5913153973
253	0.5912238465
254	0.5910407184
255	0.590824959
256	0.5905279908
257	0.5901141136
258	0.5898931376
259	0.5898114234
260	0.5896433029
261	0.5894097012
262	0.5892441346
263	0.5889722395
264	0.5888323355
265	0.5886660733
266	0.5884736227
267	0.5882893073
268	0.5881318556
269	0.5879464379
270	0.5876337828
271	0.5873018889
272	0.5871366842
273	0.5870370531
274	0.5868160412
275	0.5866861806
276	0.5865293177
277	0.5863363785
278	0.5861790776
279	0.5858831026
280	0.5857298902
281	0.5855759837
282	0.5852391353
283	0.5849486554
284	0.5847463508
285	0.5846406028
286	0.5844290719
287	0.5842267071
288	0.5839699719
289	0.5837005282
290	0.5835075703
291	0.5833951746
292	0.5832145483
293	0.5831011211
294	0.5829652979
295	0.5826869134
296	0.5824708715
297	0.5823365826
298	0.5822157816
299	0.5819870602
300	0.5818968558
301	0.5817764348
302	0.5815771085
303	0.5813637412
304	0.5811112998
305	0.5809989535
306	0.5807963881
307	0.5806997644
308	0.5805384969
309	0.5802496631
310	0.5801096533
311	0.5799970376
312	0.5798178859
313	0.5797320187
314	0.5795227168
315	0.5792862202
316	0.5790051222
317	0.5788548397
318	0.5786931125
319	0.5785380833
320	0.5782379855
321	0.5780914666
322	0.5778692922
323	0.5777381799
324	0.5774828326
325	0.5772080702
326	0.5769070882
327	0.5767578908
328	0.5765970813
329	0.5765236301
330	0.5762694319
331	0.5761066797
332	0.5758230322
333	0.5756827229
334	0.5755845399
335	0.575372578
336	0.5751167954
337	0.5748807252
338	0.5747563121
339	0.574709016
340	0.5745918546
341	0.5744481919
342	0.574297393
343	0.5742395754
344	0.5740535529
345	0.5739810205
346	0.573772782
347	0.5736051775
348	0.5732396223
349	0.5729952234
350	0.5728089725
351	0.5726294592
352	0.5724511065
353	0.5723569333
354	0.5721712881
355	0.5720281507
356	0.5719367365
357	0.5716992543
358	0.5714374182
359	0.5712046755
360	0.5710849352
361	0.5708988318
362	0.5707754253
363	0.5705072635
364	0.5703065208
365	0.5699740337
366	0.5698382248
367	0.5697119434
368	0.5696107184
369	0.569468969
370	0.5693842034
371	0.5691505097
